derivat,vnumber,btnumber,at_id,prio_int,ia_genehmigungsstand,pep_bauphase,ksps,istufe,anlauf_sop_at,bo,quelle,av_fzg,pl,basistyp,puk_werk,hybrid,basisausfuehrung,antriebsart,motortyp,rueckgabe_soll,key
9849403da850,5dd2fed6ff97,4f4b253dfb66,dfdc47a1473b,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,3cff0c4a8957,4de01d76ccae,045fda07d995,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,919830daf4f7,299136019f1d
9849403da850,7c72460a995f,"2,48E+230",c55a307d88e7,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,1909f4707fbc,4de01d76ccae,57367b9ec7a2,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,6c4739588d18,299136019f1d
9849403da850,854e5afa9228,d011dd8e2260,9e69c0e4cca6,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,d81128d28c25,4de01d76ccae,57367b9ec7a2,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,77bb7469c92d,299136019f1d
9849403da850,a7cc194a4071,e6ad5ef3bf98,5e3be1de3325,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,547d1fbc079e,4de01d76ccae,225df995adb9,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,de6c940185e2,299136019f1d
9849403da850,53c64d319748,4b59fb625b1f,983ec5f41e2d,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,14870a394f99,4de01d76ccae,816f9a344497,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,c25a3e64e23d,299136019f1d
9849403da850,2aad283fbff2,bb9b9379a2ee,10ab37c662f0,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,fb2ecb3f70d4,4de01d76ccae,46f60f51a390,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,f778728d67de,299136019f1d
9849403da850,86f63825f0ea,d16cfe6c0014,558b21dd069b,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,1909f4707fbc,4de01d76ccae,55b7bb88f823,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,c07d30d44c0d,299136019f1d
9849403da850,95b8d5064777,1285b9c4dfe2,4f3cdaad5fdb,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,91906b4260da,4de01d76ccae,1ee72dd7b664,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,23a929d82752,299136019f1d
9849403da850,26114e9e182b,4fe13a0d2ae2,4af883b19aab,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,14870a394f99,4de01d76ccae,55b7bb88f823,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,d27dfb830565,299136019f1d
9849403da850,8310c81e6be4,d1d0f5519f99,4378a9bc6bb5,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,1909f4707fbc,4de01d76ccae,81480e2c8600,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,1b50d0e864ce,299136019f1d
9849403da850,2944bffea33b,51d8cb75787c,56048f454f69,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,547d1fbc079e,4de01d76ccae,737f65c6fb1d,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,de6c940185e2,299136019f1d
0be20aeac075,becac9164065,7291ae214f49,c9cf04b83981,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,37f04650e47f,9314d7ed9792,0afc5258c3fa,4de01d76ccae,0173fca44fc7,83575dc8dc80,d126cf14a2e6,a1506fa41e74,7352775fc497,7c572aeb3f13,6ded4dc64807,db065f5d38ed,666226b60222,21e4b993995a
9849403da850,"8,77E+103",499d0d43b458,158f5cd5bb99,56f8f910cb81,6382a318d580,d716ade3ab1c,48bb323e452d,23e3c97d9658,15333a08eda1,1909f4707fbc,4de01d76ccae,b4bb25d073bd,756653dcabed,e2fbe3d16651,bf543ca63d18,7b508042d539,2dbf72b294d1,8f66477f646c,1109674b94ea,81a92b55ad4d,299136019f1d
38462567dddb,2e9487fcf499,b60ba3c0dbe3,81955db3c1ea,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,ec6eac005870,3f33e3112315,620c655d09d4,4de01d76ccae,437a9e9c6c84,756653dcabed,9c4dc5319e2f,e2cf8569465e,97fcfadd6aae,2dbf72b294d1,8f66477f646c,d722adc32b8c,93c7061938b3,b1339d49c110
84ecfe499d74,b52ebc090b06,eb63d7c589b0,17345a0393ac,404939ad27db,6382a318d580,d716ade3ab1c,48bb323e452d,7c3abdce0cd6,892e70c90b50,00e672016ac8,4de01d76ccae,072f6b04f349,756653dcabed,ff9e88550944,e2cf8569465e,97fcfadd6aae,2dbf72b294d1,8f66477f646c,d722adc32b8c,b56e65895c3c,69e655ee45d3
